Date,Open,High,Low,Close,Adj Close,Volume
2015-09-04,101.589996,102.019997,100.769997,101.320000,98.307716,794800
2015-09-08,103.150002,103.910004,102.570000,103.820000,100.733376,1041100
2015-09-09,104.849998,104.849998,102.250000,102.440002,99.394424,725100
2015-09-10,102.239998,103.809998,102.239998,103.120003,100.054199,742300
2015-09-11,102.769997,103.750000,102.449997,103.730003,100.646065,479300
2015-09-14,103.930000,103.949997,103.029999,103.379997,100.306465,581200
2015-09-15,103.680000,104.839996,103.279999,104.559998,101.451385,505600
2015-09-16,104.699997,105.510002,104.379997,105.379997,102.247009,476900
2015-09-17,105.279999,106.930000,105.099998,105.360001,102.227608,603100
2015-09-18,104.019997,105.059998,103.709999,103.889999,100.801315,711400
2015-09-21,104.120003,104.769997,103.230003,103.900002,101.148849,795300
2015-09-22,102.629997,102.830002,101.720001,102.489998,99.776176,580500
2015-09-23,102.629997,102.879997,102.000000,102.339996,99.630150,551500
2015-09-24,101.559998,102.110001,100.599998,101.860001,99.162865,785500
2015-09-25,102.910004,102.910004,100.870003,101.470001,98.783195,816100
2015-09-28,100.820000,101.080002,98.169998,98.400002,95.794487,1401200
2015-09-29,98.709999,99.459999,97.500000,98.139999,95.541374,1353900
2015-09-30,99.400002,100.330002,98.919998,100.290001,97.634445,1047700
2015-10-01,100.449997,100.709999,99.360001,100.709999,98.043312,918100
2015-10-02,99.500000,102.290001,99.089996,102.290001,99.581474,804900
2015-10-05,102.970001,103.959999,102.889999,103.849998,101.100174,1083800
2015-10-06,103.699997,103.940002,102.559998,103.169998,100.438164,727100
2015-10-07,103.709999,104.089996,102.879997,103.949997,101.197525,628200
2015-10-08,103.750000,104.980003,103.330002,104.800003,102.025017,487000
2015-10-09,104.970001,105.360001,104.669998,105.160004,102.375488,455700
2015-10-12,105.250000,105.510002,105.029999,105.379997,102.589661,379100
2015-10-13,104.889999,105.720001,104.440002,104.550003,101.781647,456800
2015-10-14,104.580002,105.000000,103.910004,104.120003,101.363029,393700
2015-10-15,104.470001,105.790001,104.349998,105.769997,102.969330,707500
2015-10-16,106.050003,106.180000,105.489998,106.139999,103.329529,944500
2015-10-19,105.820000,106.529999,105.660004,106.449997,103.631317,480400
2015-10-20,106.199997,106.709999,105.820000,106.169998,103.358734,630900
2015-10-21,106.470001,106.629997,105.330002,105.430000,102.638336,396900
2015-10-22,106.150002,107.230003,105.919998,107.070000,104.234917,560800
2015-10-23,108.269997,108.570000,107.669998,108.320000,105.451805,508200
2015-10-26,108.199997,108.489998,107.889999,108.300003,105.432343,642600
2015-10-27,108.019997,108.290001,107.660004,108.129997,105.266846,419000
2015-10-28,108.440002,109.320000,107.839996,109.260002,106.366928,518000
2015-10-29,109.040001,109.720001,108.980003,109.610001,106.707649,592400
2015-10-30,109.769997,109.970001,109.250000,109.290001,106.396133,684400
2015-11-02,109.400002,110.639999,109.400002,110.589996,107.661705,784300
2015-11-03,110.529999,111.209999,110.180000,110.809998,107.875885,473800
2015-11-04,111.150002,111.190002,110.250000,110.650002,107.720123,563100
2015-11-05,110.910004,111.000000,109.849998,110.400002,107.476746,655300
2015-11-06,110.139999,110.589996,109.589996,110.290001,107.369652,477300
2015-11-09,110.029999,110.029999,108.570000,109.239998,106.347450,572100
2015-11-10,108.940002,109.379997,108.669998,109.309998,106.415604,514800
2015-11-11,109.669998,109.669998,108.870003,108.910004,106.026199,406700
2015-11-12,108.269997,108.779999,107.550003,107.550003,104.702217,577400
2015-11-13,107.330002,107.360001,105.889999,105.959999,103.154305,599100
2015-11-16,105.669998,107.389999,105.599998,107.389999,104.546432,627600
2015-11-17,107.650002,108.209999,107.180000,107.470001,104.624321,938100
2015-11-18,107.980003,109.400002,107.830002,109.300003,106.405869,584300
2015-11-19,109.360001,109.570000,109.150002,109.230003,106.337723,678500
2015-11-20,109.790001,110.169998,109.709999,110.010002,107.097076,483200
2015-11-23,110.029999,110.449997,109.540001,109.889999,106.980240,747800
